;;;;;;;;;سعودي;سعودي;سعودي;غير سعودي;غير سعودي;غير سعودي;المجموع;المجموع;المجموع;NA
YR;SS;DS;IT;IN;CO;SE;SP;SSYS;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;GE
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس تربية إسلامية;دكتوراه;2;0;2;0;0;0;2;0;2;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس تربية إسلامية;جملة;11;12;23;0;0;0;11;12;23;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس لغة عربية;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس لغة عربية;ماجستير;8;12;20;0;0;0;8;12;20;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس لغة عربية;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس لغة عربية;دكتوراه;4;2;6;0;0;0;4;2;6;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس لغة عربية;جملة;12;14;26;0;0;0;12;14;26;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;إشراف تربوي;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;إشراف تربوي;ماجستير;9;8;17;0;0;0;9;8;17;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;إشراف تربوي;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;إشراف تربوي;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;إشراف تربوي;جملة;9;8;17;0;0;0;9;8;17;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس اجتماعيات;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس اجتماعيات;ماجستير;5;9;14;0;0;0;5;9;14;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس اجتماعيات;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس اجتماعيات;دكتوراه;0;1;1;0;0;0;0;1;1;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس اجتماعيات;جملة;5;10;15;0;0;0;5;10;15;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس رياضيات;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس رياضيات;ماجستير;9;8;17;0;1;1;9;9;18;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس رياضيات;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس رياضيات;دكتوراه;2;3;5;0;0;0;2;3;5;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس رياضيات;جملة;11;11;22;0;1;1;11;12;23;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;مناهج ووسائل تعليمية;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;مناهج ووسائل تعليمية;ماجستير;9;9;18;0;0;0;9;9;18;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;مناهج ووسائل تعليمية;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;مناهج ووسائل تعليمية;دكتوراه;5;4;9;0;0;0;5;4;9;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;مناهج ووسائل تعليمية;جملة;14;13;27;0;0;0;14;13;27;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس تربية فنية;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس تربية فنية;ماجستير;0;1;1;0;0;0;0;1;1;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس تربية فنية;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس تربية فنية;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس تربية فنية;جملة;0;1;1;0;0;0;0;1;1;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس علوم;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس علوم;ماجستير;8;9;17;0;0;0;8;9;17;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس علوم;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس علوم;دكتوراه;2;0;2;0;0;0;2;0;2;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس علوم;جملة;10;9;19;0;0;0;10;9;19;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;جملة;ماجستير;38;55;93;0;0;0;38;55;93;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;جملة;دكتوراه;9;0;9;0;0;0;9;0;9;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;جملة;جملة;47;55;102;0;0;0;47;55;102;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;إحصاءات وبحوث - علم نفس;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;إحصاءات وبحوث - علم نفس;ماجستير;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;إحصاءات وبحوث - علم نفس;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;إحصاءات وبحوث - علم نفس;دكتوراه;6;0;6;0;0;0;6;0;6;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;إحصاءات وبحوث - علم نفس;جملة;6;0;6;0;0;0;6;0;6;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;اختبارات ومقاييس;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;اختبارات ومقاييس;ماجستير;18;26;44;0;0;0;18;26;44;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;اختبارات ومقاييس;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;اختبارات ومقاييس;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;اختبارات ومقاييس;جملة;18;26;44;0;0;0;18;26;44;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;نمو;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;نمو;ماجستير;0;1;1;0;0;0;0;1;1;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;نمو;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;نمو;دكتوراه;3;0;3;0;0;0;3;0;3;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;نمو;جملة;3;1;4;0;0;0;3;1;4;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;تعلم;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;تعلم;ماجستير;20;28;48;0;0;0;20;28;48;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;تعلم;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;تعلم;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;علم النفس;تعلم;جملة;20;28;48;0;0;0;20;28;48;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;مركز الدورات التدريبية;جملة;دبلومعالٍ;894;578;1472;4;9;13;898;587;1485;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;مركز الدورات التدريبية;جملة;ماجستير;0;0;0;0;0;0;0;0;0;
