;;;;;;;;;سعودي;سعودي;سعودي;غير سعودي;غير سعودي;غير سعودي;المجموع;المجموع;المجموع;NA
YR;SS;DS;IT;IN;CO;SE;SP;SSYS;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;GE
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;الإدارة التربوية;جملة;دكتوراه;9;4;13;0;0;0;9;4;13;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;الإدارة التربوية;جملة;جملة;31;32;63;0;0;0;31;32;63;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;الإدارة التربوية;الإدارة التربوية والتخطيط;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;الإدارة التربوية;الإدارة التربوية والتخطيط;ماجستير;22;28;50;0;0;0;22;28;50;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;الإدارة التربوية;الإدارة التربوية والتخطيط;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;الإدارة التربوية;الإدارة التربوية والتخطيط;دكتوراه;9;4;13;0;0;0;9;4;13;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;الإدارة التربوية;الإدارة التربوية والتخطيط;جملة;31;32;63;0;0;0;31;32;63;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الإسلامية;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الإسلامية;جملة;ماجستير;22;27;49;0;1;1;22;28;50;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الإسلامية;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الإسلامية;جملة;دكتوراه;6;2;8;0;0;0;6;2;8;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الإسلامية;جملة;جملة;28;29;57;0;1;1;28;30;58;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الإسلامية;التربية الإسلامية والمقارنة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الإسلامية;التربية الإسلامية والمقارنة;ماجستير;22;27;49;0;1;1;22;28;50;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الإسلامية;التربية الإسلامية والمقارنة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الإسلامية;التربية الإسلامية والمقارنة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الإسلامية;التربية الإسلامية والمقارنة;جملة;22;27;49;0;1;1;22;28;50;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الإسلامية;الأصول الإسلامية للتربية;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الإسلامية;الأصول الإسلامية للتربية;ماجستير;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الإسلامية;الأصول الإسلامية للتربية;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الإسلامية;الأصول الإسلامية للتربية;دكتوراه;6;2;8;0;0;0;6;2;8;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;التربية الإسلامية;الأصول الإسلامية للتربية;جملة;6;2;8;0;0;0;6;2;8;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;جملة;ماجستير;64;75;139;0;1;1;64;76;140;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;جملة;دكتوراه;18;12;30;0;0;0;18;12;30;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;جملة;جملة;82;87;169;0;1;1;82;88;170;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس لغة إنجليزية;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس لغة إنجليزية;ماجستير;7;7;14;0;0;0;7;7;14;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس لغة إنجليزية;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس لغة إنجليزية;دكتوراه;3;2;5;0;0;0;3;2;5;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس لغة إنجليزية;جملة;10;9;19;0;0;0;10;9;19;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس تربية إسلامية;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس تربية إسلامية;ماجستير;9;12;21;0;0;0;9;12;21;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;التربية;المناهج وطرق التدريس;طرق تدريس تربية إسلامية;زمالة;0;0;0;0;0;0;0;0;0;
