SE;CO;IN;IT
إدارة الأعمال;الاقتصاد والإدارة ;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا
إدارة الأعمال;العلوم الإدارية والمالية;الجامعة السعودية الإلكترونية دراسات عليا;الجامعة السعودية الإلكترونية دراسات عليا
إدارة الأعمال;إدارة  الأعمال;جامعة الفيصل دراسات عليا;جامعة الفيصل دراسات عليا
إدارة الأعمال;إدارة الأعمال;جامعة دار  العلوم الأهلية دراسات عليا;جامعة دار  العلوم الأهلية دراسات عليا
إدارة الأعمال;كلية ابن رشد للعلوم الإدارية;كلية ابن رشد للعلوم الإدارية دراسات عليا;كلية ابن رشد للعلوم الإدارية دراسات عليا
إدارة الأعمال;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا;كليات الشرق العربي للدراسات العليا
إدارة الأعمال وتقنياتها;المجتمع للبنات برجال ألمع;جامعة الملك خالد دبلوم متوسط;جامعة الملك خالد دبلوم متوسط
الدعوة ;الدعوة وأصول الدين ;الجامعة الإسلامية دراسات عليا;الجامعة الإسلامية دراسات عليا
الدعوة;الدعوة والإعلام;جامعة الإمام محمد بن سعود الإسلامية ;جامعة الإمام محمد بن سعود الإسلامية 
الطوارئ الطبية والعناية المركزية;كلية العناية الطبية الأهلية;كلية العناية الطبية الأهلية بكالوريوس;كلية العناية الطبية الأهلية بكالوريوس
مركز الدراسات الإسلامية;الشريعة والدراسات الإسلامية ;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا
الكيمياء;الكلية الجامعية بالقنفذة ;جامعة أم القرى بكالوريوس;جامعة أم القرى بكالوريوس
الكيمياء;العلوم;جامعة الملك فيصل بكالوريوس;جامعة الملك فيصل بكالوريوس
الكيمياء;العلوم;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
الكيمياء;العلوم والآداب للبنات بسراة عبيدة;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
الكيمياء;العلوم والاقتصاد المنزلي للبنات ببيشة;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
الكيمياء;العلوم والآاب للبنات بمحايل عسير;جامعة الملك خالد بكالوريوس;جامعة الملك خالد بكالوريوس
الكيمياء;العلوم والآداب بالرس;جامعة القصيم بكالوريوس;جامعة القصيم بكالوريوس
الكيمياء;العلوم;جامعة طيبة بكالوريوس;جامعة طيبة بكالوريوس
الكيمياء;العلوم والآداب بالعلا;جامعة طيبة بكالوريوس;جامعة طيبة بكالوريوس
الكيمياء;العلوم;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
الكيمياء;العلوم;جامعة حائل بكالوريوس;جامعة حائل بكالوريوس
الكيمياء;العلوم;جامعة تبوك بكالوريوس;جامعة تبوك بكالوريوس
الكيمياء;الكلية الجامعية بالوجه;جامعة تبوك بكالوريوس;جامعة تبوك بكالوريوس
الكيمياء;العلوم والآداب;جامعة نجران بكالوريوس;جامعة نجران بكالوريوس
الكيمياء;العلوم والآداب بشرورة;جامعة نجران بكالوريوس;جامعة نجران بكالوريوس
الكيمياء;العلوم والآداب بساجر;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
الكيمياء;العلوم والدراسات الإنسانية بالقويعية;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
الكيمياء;العلوم والدراسات الإنسانية بحريملاء;جامعة شقراء بكالوريوس;جامعة شقراء بكالوريوس
الكيمياء;التربية بالخرج;جامعة سلمان بن عبدالعزيز بكالوريوس;جامعة سلمان بن عبدالعزيز بكالوريوس
الكيمياء;العلوم والدراسات الإنسانية بالخرج;جامعة سلمان بن عبدالعزيز بكالوريوس;جامعة سلمان بن عبدالعزيز بكالوريوس
الكيمياء;التربية بالزلفي;جامعة المجمعة بكالوريوس;جامعة المجمعة بكالوريوس
الكيمياء;العلوم الإدارية والإنسانية بحوطة سدير;جامعة المجمعة بكالوريوس;جامعة المجمعة بكالوريوس
كيمياء;العلوم والآداب بصامطة;جامعة جازان بكالوريوس;جامعة جازان بكالوريوس
الكيمياء;العلوم;جامعة الملك سعود دراسات عليا;جامعة الملك سعود دراسات عليا
كيمياء;العلوم;جامعة الملك عبد العزيز دراسات عليا;جامعة الملك عبد العزيز دراسات عليا
